PROFILEAREA,SETTD,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
CITIPOWER,01/08/2011,20909.627,18975.685,20296.02,18807.947,17724.955,16965.972,16216.058,15679.327,15501.349,15480.724,16354.877,17652.918,20931.914,25465.285,29779.834,32494.048,32157.726,30909.784,30279.247,29939.642,29943.549,28859.027,28771.932,28744.718,29079.164,29528.477,30002.268,29696.407,29366.257,29380.588,28496.18,28001.701,28492.164,28807.163,30395.019,33524.089,35841.966,36562.794,36023.865,35402.374,34319.39,33343.714,32035.562,29967.519,27999.341,26106.278,24623.678,22322.104,MRIM
CITIPOWER,02/08/2011,20242.118,18290.942,19756.376,18423.741,17272.332,16733.585,15821.399,15299.139,15149.013,15264.519,16101.538,17404.462,20583.622,24987.569,29099.634,31536.893,31542.923,30115.639,29228.218,28505.986,28001.401,27681.094,27278.318,26853.249,26899.911,26630.321,26566.277,26154.819,26299.616,26253.342,26070.814,25889.873,26267.64,26941.978,28553.086,31382.786,33657.137,34394.544,33968.82,33328.843,32312.941,31479.58,30335.01,28788.476,26966.802,25249.508,23978.701,21973.647,MRIM
CITIPOWER,03/08/2011,19893.027,17996.668,19406.083,17940.608,16831.843,16013.452,15343.951,14803.075,14631.83,14721.429,15561.905,16833.627,19820.859,24104.336,27703.203,29707.927,29350.394,28339.254,27920.494,27390.036,27206.32,26766.868,26450.52,26276.949,26100.139,26051.537,25907.291,25678.986,25621.12,25378.741,25180.13,25131.746,25501.901,26062.015,27040.538,29435.36,31432.151,32008.167,31656.879,30776.177,29814.537,28764.057,27915.482,26686.828,25431.299,24167.244,23248.654,21374.093,MRIM
CITIPOWER,04/08/2011,19213.278,17369.616,18701.941,17178.361,16096.731,15233.025,14604.128,14080.833,13822.84,13870.378,14557.237,15683.975,18237.679,22152.392,25389.747,27561.758,27592.249,26787.064,27212.25,27124.901,26838.516,26941.658,26949.207,27184.161,27312.952,27396.069,27714.78,27508.175,27346.005,26910.535,26328.572,26176.257,26793.852,27761.207,29205.338,30954.905,32051.011,32501.005,31868.146,31014.214,30121.103,29347.436,28272.933,26781.324,25520.766,24297.97,23499.377,21580.017,MRIM
CITIPOWER,05/08/2011,19425.982,17709.927,19000.45,17543.228,16393.269,15599.974,14836.954,14360.95,14157.997,14234.813,14992.209,16074.609,18913.55,22939.548,26310.939,28540.462,28547.761,28459.227,29079.282,28905.187,28747.198,28274.041,28539.576,27905.62,27156.836,26815.019,26977.477,27098.075,27364.241,27515.487,27739.785,28478.931,29696.299,30875.077,32076.586,33711.061,34855.199,34810.063,33711.707,32721.612,31773.525,30925.375,29875.938,28531.313,27610.307,26852.494,26368.237,24543.567,MRIM
CITIPOWER,06/08/2011,22296.63,20145.855,21187.28,19390.144,17952.986,16974.18,16153.438,15512.298,15176.578,14967.406,15288.052,15557.849,16532.39,17754.971,18748.79,21021.898,23379.136,25161.853,26690.975,27557.816,27878.105,27366.989,27914.652,28010.915,27940.923,28366.511,29236.208,28674.395,27015.961,26475.01,25928.069,26146.237,26187.124,27257.869,29648.473,32952.341,34781.334,35362.786,34345.19,33325.709,32216.155,31390.723,30394.724,29304.162,28506.649,28158.772,28176.109,26371.011,MRIM
CITIPOWER,07/08/2011,24328.564,22076.797,23075.834,21217.712,19931.064,18860.74,17948.018,17008.856,16540.396,16316.413,16515.436,16759.084,17421.059,18327.286,18931.952,20909.325,22720.142,23878.612,24864.782,25322.183,26353.724,26935.937,27781.66,27890.506,28421.063,28781.769,29029.784,27925.119,26583.259,26085.184,25862.049,26070.848,26883.523,28964.927,31590.36,35328.186,38150.044,38812.265,38212.862,37683.576,37081.483,36369.169,35036.701,33230.957,31307.766,29022.241,27310.359,24845.447,MRIM
CITIPOWER,08/08/2011,22653.85,20509.907,21696.411,20113.955,19006.153,18057.175,17241.02,16654.42,16366.457,16353.158,17270.222,18528.205,21925.579,26780.49,31554.97,34738.669,35141.806,34261.893,34209.386,33589.479,32933.673,31547.107,31088.662,30580.331,30922.683,31114.919,31355.649,30853.217,30070.684,29481.372,29680.729,30101.334,30240.752,31161.655,33204.364,37010.781,40513.579,41775.704,41520.78,40879.278,40077.092,38961.7,37236.85,35106.307,32721.28,30293.531,28200.727,25782.094,MRIM
CITIPOWER,09/08/2011,23534.299,21282.317,22541.247,20927.333,19695.981,19017.45,18116.138,17491.419,17354.516,17447.742,18272.035,19812.863,23432.882,28724.953,33496.745,36727.416,37208.368,36572.822,36777.878,36242.053,36095.034,35646.114,35442.862,35500.112,35785.869,35657.434,36029.557,35935.017,35196.1,34631.461,34058.506,34141.887,35308.066,36940.091,38892.157,41222.995,43472.25,44294.112,43709.093,42845.895,41815.129,40682.276,38947.041,36791.644,34475.165,31998.887,29761.076,26772.601,MRIM
CITIPOWER,10/08/2011,24515.228,22076.31,23081.231,21385.501,20027.92,19167.519,18419.099,17918.532,17726.597,17886.675,18769.616,20339.524,24065.283,29321.58,34261.578,37707.227,37953.236,37132.111,36940.045,36558.609,36527.08,36329.37,36208.399,35920.598,35989.52,36044.23,36595.044,35893.575,35948.363,35808.016,35546.772,35995.608,37486.626,39383.251,41466.668,43614.72,45213.954,45787.418,45143.446,44109.371,42955.47,41702.318,39938.991,37683.348,35055.839,32429.857,30328.542,27476.873,MRIM
