,Date,Measure,Distributor,MeasurementType
264,2015-09-22,13.1,AusNet,MaxTemp
265,2015-09-23,,AusNet,MaxTemp
266,2015-09-24,15.5,AusNet,MaxTemp
267,2015-09-25,15.5,AusNet,MaxTemp
268,2015-09-26,17.6,AusNet,MaxTemp
269,2015-09-27,20.2,AusNet,MaxTemp
270,2015-09-28,22.5,AusNet,MaxTemp
271,2015-09-29,17.4,AusNet,MaxTemp
272,2015-09-30,15.8,AusNet,MaxTemp
273,2015-10-01,20.0,AusNet,MaxTemp
274,2015-10-02,26.1,AusNet,MaxTemp
275,2015-10-03,29.7,AusNet,MaxTemp
276,2015-10-04,26.7,AusNet,MaxTemp
277,2015-10-05,30.6,AusNet,MaxTemp
278,2015-10-06,33.6,AusNet,MaxTemp
279,2015-10-07,18.8,AusNet,MaxTemp
280,2015-10-08,21.9,AusNet,MaxTemp
281,2015-10-09,26.9,AusNet,MaxTemp
282,2015-10-10,24.7,AusNet,MaxTemp
283,2015-10-11,26.1,AusNet,MaxTemp
284,2015-10-12,15.9,AusNet,MaxTemp
285,2015-10-13,18.6,AusNet,MaxTemp
286,2015-10-14,25.5,AusNet,MaxTemp
287,2015-10-15,32.5,AusNet,MaxTemp
288,2015-10-16,25.0,AusNet,MaxTemp
289,2015-10-17,21.0,AusNet,MaxTemp
290,2015-10-18,21.7,AusNet,MaxTemp
291,2015-10-19,25.7,AusNet,MaxTemp
292,2015-10-20,30.2,AusNet,MaxTemp
293,2015-10-21,18.1,AusNet,MaxTemp
294,2015-10-22,16.4,AusNet,MaxTemp
295,2015-10-23,15.8,AusNet,MaxTemp
296,2015-10-24,22.0,AusNet,MaxTemp
297,2015-10-25,28.2,AusNet,MaxTemp
298,2015-10-26,16.3,AusNet,MaxTemp
299,2015-10-27,18.9,AusNet,MaxTemp
300,2015-10-28,26.4,AusNet,MaxTemp
301,2015-10-29,26.3,AusNet,MaxTemp
302,2015-10-30,26.5,AusNet,MaxTemp
303,2015-10-31,19.4,AusNet,MaxTemp
304,2015-11-01,29.1,AusNet,MaxTemp
305,2015-11-02,17.5,AusNet,MaxTemp
306,2015-11-03,20.0,AusNet,MaxTemp
307,2015-11-04,20.6,AusNet,MaxTemp
308,2015-11-05,21.1,AusNet,MaxTemp
309,2015-11-06,20.8,AusNet,MaxTemp
310,2015-11-07,17.7,AusNet,MaxTemp
311,2015-11-08,24.1,AusNet,MaxTemp
312,2015-11-09,31.5,AusNet,MaxTemp
313,2015-11-10,17.5,AusNet,MaxTemp
314,2015-11-11,15.0,AusNet,MaxTemp
315,2015-11-12,25.7,AusNet,MaxTemp
316,2015-11-13,20.6,AusNet,MaxTemp
317,2015-11-14,20.4,AusNet,MaxTemp
318,2015-11-15,22.2,AusNet,MaxTemp
319,2015-11-16,27.4,AusNet,MaxTemp
320,2015-11-17,31.8,AusNet,MaxTemp
321,2015-11-18,28.6,AusNet,MaxTemp
322,2015-11-19,32.1,AusNet,MaxTemp
323,2015-11-20,20.0,AusNet,MaxTemp
324,2015-11-21,19.3,AusNet,MaxTemp
325,2015-11-22,22.5,AusNet,MaxTemp
326,2015-11-23,21.1,AusNet,MaxTemp
327,2015-11-24,26.0,AusNet,MaxTemp
328,2015-11-25,32.7,AusNet,MaxTemp
329,2015-11-26,16.8,AusNet,MaxTemp
330,2015-11-27,17.3,AusNet,MaxTemp
331,2015-11-28,23.8,AusNet,MaxTemp
332,2015-11-29,21.6,AusNet,MaxTemp
333,2015-11-30,31.2,AusNet,MaxTemp
334,2015-12-01,25.7,AusNet,MaxTemp
335,2015-12-02,19.4,AusNet,MaxTemp
336,2015-12-03,22.6,AusNet,MaxTemp
337,2015-12-04,31.6,AusNet,MaxTemp
338,2015-12-05,33.1,AusNet,MaxTemp
339,2015-12-06,24.1,AusNet,MaxTemp
